property,city,area,category,rating,price
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 20000 م2, مخصص لل عوائل و عزاب,0,"1,500"
مخيم بجلسة عريش وبيت شعر, الرياض - حي الثمامة, مساحة الوحدة 5000 م2, مخصص لل عوائل و عزاب,0,632
مخيم , المزاحمية - حي الفيصلية, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,"1,700"
شاليه بركن شواء , الرياض - حي بنبان, مساحة الوحدة 390 م2, مخصص لل عوائل فقط,10,500
فيلا بـ4 غرف نوم وجلسة خارجية , الرياض - حي العارض, مساحة الوحدة 320 م2, مخصص لل عوائل و عزاب,0,"3,160"
مخيم ببيت شعر ملكي وجلسة خارجية, الرياض - حي العاذرية, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,9.5,"1,000"
مخيم بجلسة خارجية وبيت شعر, الرياض - حي الطوقي, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,700
استراحة بمسطح اخضر ومجلس, الرياض - حي المناخ, مساحة الوحدة 750 م2, مخصص لل عوائل و عزاب,0,500
مخيم بخيمه وجلسة خارجية, الرياض - حي العاذرية, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,0,600
مخيم ببيت شعر  وركن شواء , الرياض - حي الثمامة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,540
مخيم بخيمه وموقد حطب , الرياض - حي الثمامة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,540
شاليه بركن شواء وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل فقط,8.2,900
شاليه بمجلس وركن شواء وجلسة خارجيه, الرياض - الدرعية, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,9.1,890
شاليه بمسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 420 م2, مخصص لل عوائل فقط,9.2,450
شاليه بغرفة نوم مطلة على المسبح, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,7.2,499
مخيم ببيت شعر وجلسة عريش, الرياض - حي الطوقي, مساحة الوحدة 7000 م2, مخصص لل عوائل و عزاب,10,"2,500"
شاليه بمسبح ومسطح اخضر , الرياض - حي ضاحية نمار, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,9.9,450
شاليه بجلسه مطله على المسبح , الرياض - حي النرجس, مساحة الوحدة 260 م2, مخصص لل عوائل و عزاب,9.8,"1,100"
مخيم ببيت شعر وملعب كرة قدم, الرياض - حي العاذرية, مساحة الوحدة 15000 م2, مخصص لل عوائل و عزاب,8.3,468
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 8000 م2, مخصص لل عوائل و عزاب,10,"1,710"
مخيم ببيت شعر وجلسة خارجية , الرياض - حي الثمامة, مساحة الوحدة 5000 م2, مخصص لل عوائل و عزاب,0,"1,000"
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 750 م2, مخصص لل عوائل و عزاب,0,750
شاليه بمسطح اخضر و.كنب وجلسة ارضية , الرياض - حي المناخ, مساحة الوحدة 312 م2, مخصص لل عوائل و عزاب,8.6,500
منتجع فندقي بمسطح اخضر, الرياض - حي بنبان, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,8.6,850
شاليه بمسبح داخلي ومسطح أخضر, الرياض - حي الرمال, مساحة الوحدة 410 م2, مخصص لل عوائل و عزاب,9.7,700
شاليه بركن شواء ومسبح , الرياض - حي ديراب, مساحة الوحدة 1200 م2, مخصص لل عوائل و عزاب,10,"1,000"
شاليه بمسطح اخضر وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 420 م2, مخصص لل عوائل و عزاب,9,500
شاليه بمسبح و جلسة خارجية, الرياض - حي العارض, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,7.2,900
شاليه بجلسة تطل على مسبح خارجي , الرياض - حي عريض, مساحة الوحدة 420 م2, مخصص لل عوائل و عزاب,0,800
مخيم بجلسة خارجية وبيت شعر, الرياض - طريق الخرج, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,9.3,400
مخيم ببيت شعر وجلسة خارجية , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,"1,200"
مخيم بجلسة خارجية وخيمة , الرياض - حي الثمامة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,540
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الامانة, مساحة الوحدة 12000 م2, مخصص لل عوائل و عزاب,0,450
شاليه بستيج مضيئ ومسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,0,500
شاليه بصالة ومسطح اخضر , الرياض - العمارية, مساحة الوحدة 550 م2, مخصص لل عوائل و عزاب,0,966
شاليه بألعاب مائيه ومسطح اخضر, الرياض - حي عريض, مساحة الوحدة 420 م2, مخصص لل عوائل و عزاب,0,800
مخيم بجلسة خارجية وبيت شعر, الرياض - حي الطوقي, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,0,"1,500"
مخيم بجلسة عريش وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,"2,000"
شاليه بألعاب أطفال ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,6.6,499
شاليه بركن شواء ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,8.6,400
شاليه بمجلس وجلسه خارجيه في بنبان, الرياض - حي بنبان, مساحة الوحدة 800 م2, مخصص لل عوائل و عزاب,9.3,500
مخيم بجلسة خارجية و بروجكتر, الرياض - حي الطوقي, مساحة الوحدة 20000 م2, مخصص لل عوائل و عزاب,9.8,"1,600"
شاليه بجلسة خارجية ومسبح , الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,8.4,850
شاليه بجلسة مطلة على المسبح, الرياض - العوالي (نمار), مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,9.6,500
شاليه بمسطح اخضر و مسبح, الرياض - العوالي (نمار), مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,0,800
شاليه بجلسة تطل على مسبح خارجي , الرياض - العوالي (نمار), مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,0,800
شاليه بمسطح اخضر و مسبح, الرياض - العوالي (نمار), مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,0,800
شاليه بمسطح اخضر, الرياض - حي نمار, مساحة الوحدة 300 م2, مخصص لل عوائل فقط,0,400
شاليه بمجلس وجلسه خارجيه, الرياض - حي العارض, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,7.2,"1,000"
شاليه بمسطح اخضر ومسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,6.6,399
شاليه بصالة وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 200 م2, مخصص لل عوائل فقط,8,300
شاليه بمسطح اخضر وألعاب اطفال, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,7.2,450
شاليه بمسبح وملعب كرة طائرة, الرياض - حي القادسية, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,8.4,700
شاليه بمسطح اخضر ومسبح, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,8.6,400
شاليه بملعب كرة قدم  ومسبح داخلي, الرياض - حي ديراب, مساحة الوحدة 1250 م2, مخصص لل عوائل و عزاب,8.1,299
شاليه بمسطح اخضر, الرياض - حي القيروان, مساحة الوحدة 200 م2, مخصص لل عوائل و عزاب,5.3,750
شاليه بمسبح والعاب اطفال, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,8.2,450
