area,rating,price,pool,garden,outdoor,play_area,family,single,property_type_apartment,property_type_camp,property_type_chalet,property_type_farm,property_type_resort
10000,0.0,495,0,0,1,0,0,0,0,1,0,0,0
250,0.0,2500,0,0,0,0,1,0,1,0,0,0,0
250,0.0,2500,0,0,0,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,0,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,0,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,1,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,0,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,0,0,1,0,0,0,1,0,0
250,0.0,2500,0,0,0,0,1,0,1,0,0,0,0
250,0.0,2500,0,0,1,0,1,0,0,0,1,0,0
1000,0.0,1000,0,0,0,1,0,0,0,1,0,0,0
20000,0.0,1800,0,0,0,1,1,0,0,1,0,0,0
5000,0.0,1600,0,0,0,1,0,0,0,1,0,0,0
7000,0.0,1100,0,0,0,0,0,0,0,1,0,0,0
2500,0.0,900,0,1,0,0,0,0,0,1,0,0,0
1000,0.0,400,0,0,0,0,0,0,0,1,0,0,0
300,8.5,700,0,0,0,0,0,0,0,0,1,0,0
750,8.4,600,0,0,1,1,1,0,0,0,1,0,0
400,8.8,600,1,0,1,0,1,0,0,0,1,0,0
400,8.8,600,1,0,1,0,1,0,0,0,1,0,0
300,8.2,300,0,1,0,0,1,0,0,0,1,0,0
410,9.7,700,1,0,1,0,0,0,0,0,1,0,0
250,7.8,450,0,0,0,0,0,0,1,0,0,0,0
450,9.9,500,0,1,1,0,0,0,0,0,1,0,0
20000,10.0,1500,0,0,1,1,0,0,0,1,0,0,0
350,8.3,350,1,0,1,0,0,0,0,0,1,0,0
425,5.5,1700,1,1,1,0,0,0,0,0,1,0,0
350,9.9,450,0,0,1,1,0,0,0,0,1,0,0
7000,0.0,800,0,0,1,0,0,0,0,1,0,0,0
700,0.0,2000,0,0,1,0,0,0,0,0,1,0,0
148,0.0,500,1,0,0,0,0,0,0,0,1,0,0
4250,0.0,500,0,0,1,0,0,0,0,1,0,0,0
1000,0.0,1000,0,0,1,0,0,0,0,1,0,0,0
5000,0.0,840,0,0,0,0,0,0,0,1,0,0,0
10000,0.0,1800,0,0,1,0,0,0,0,1,0,0,0
2000,0.0,1800,0,0,1,1,0,0,0,1,0,0,0
320,8.3,900,0,0,1,0,1,0,0,0,1,0,0
250,8.3,550,1,0,0,1,1,0,0,0,1,0,0
400,6.6,499,1,0,1,0,0,0,0,0,1,0,0
200,8.0,300,0,1,0,1,1,0,0,0,1,0,0
500,9.4,2700,1,0,0,0,0,0,0,0,0,0,1
430,9.0,800,0,0,1,0,0,0,0,0,1,0,0
250,7.2,450,1,0,1,0,0,0,0,0,1,0,0
370,8.3,800,0,0,1,0,1,0,0,0,0,0,1
400,8.2,450,0,0,1,0,1,0,0,0,1,0,0
1400,8.9,850,0,0,1,1,0,0,0,0,1,0,0
450,7.1,600,0,0,1,0,0,0,0,0,1,0,0
600,10.0,2000,1,0,1,0,1,0,0,0,1,0,0
450,9.1,350,0,1,0,1,0,0,0,0,0,1,0
450,10.0,1360,0,0,1,0,0,0,0,0,1,0,0
2300,10.0,1000,0,1,1,0,0,0,0,0,0,1,0
1500,10.0,750,0,1,1,0,0,0,0,0,1,0,0
500,8.0,500,0,1,1,0,0,0,0,0,1,0,0
450,7.2,500,1,0,1,0,0,0,0,0,1,0,0
460,10.0,700,1,0,0,1,0,0,0,0,1,0,0
10000,10.0,1000,0,0,1,1,0,0,0,0,0,1,0
350,10.0,660,1,0,1,0,0,0,0,0,1,0,0
500,9.4,505,1,0,1,0,0,0,0,0,1,0,0
2500,0.0,3500,0,0,1,0,0,0,0,1,0,0,0
330,10.0,700,1,0,1,0,0,0,0,0,0,1,0
3000,0.0,600,0,0,1,0,0,0,0,1,0,0,0
2200,0.0,2500,0,1,1,0,0,0,0,0,0,1,0
10000,0.0,495,0,0,1,0,0,0,0,1,0,0,0
300,6.6,399,1,0,1,0,0,0,0,0,1,0,0
200,8.0,300,0,1,1,0,1,0,0,0,1,0,0
170,8.8,400,0,0,1,0,1,0,0,0,1,0,0
1000,9.7,1600,0,0,1,1,0,0,0,0,1,0,0
1000,9.7,1600,0,1,1,0,0,0,0,0,1,0,0
400,8.8,600,1,1,0,0,1,0,0,0,1,0,0
300,9.6,500,0,0,1,1,0,0,0,0,1,0,0
1000,6.8,750,0,0,0,0,0,0,0,1,0,0,0
700,8.9,1200,0,1,1,0,0,0,0,0,0,1,0
450,8.8,700,1,1,0,0,1,0,0,0,1,0,0
400,8.8,499,1,1,0,0,1,0,0,0,1,0,0
470,9.6,600,1,1,0,0,1,0,0,0,1,0,0
1200,9.9,1500,0,1,0,0,1,0,0,0,0,1,0
250,8.8,700,1,0,1,0,0,0,0,0,1,0,0
500,8.9,950,0,0,1,0,1,0,0,0,1,0,0
650,9.8,1500,0,1,0,0,0,0,0,0,0,1,0
300,8.6,360,1,0,1,0,1,0,0,0,1,0,0
350,9.9,450,0,0,1,1,0,0,0,0,1,0,0
350,9.8,600,0,0,1,0,0,0,0,0,1,0,0
450,9.8,500,0,0,1,0,0,0,0,0,1,0,0
450,0.0,2500,0,0,1,0,1,0,0,0,1,0,0
400,0.0,900,0,1,1,0,0,0,0,0,1,0,0
400,0.0,874,1,0,1,0,0,0,0,0,1,0,0
1000,0.0,1000,0,0,0,1,0,0,0,1,0,0,0
1500,8.4,1000,0,0,0,0,1,0,0,0,0,1,0
320,8.3,900,0,0,1,1,1,0,0,0,1,0,0
1500,9.3,1790,0,1,0,0,0,0,0,0,1,0,0
400,9.4,1100,0,1,0,0,0,0,0,0,1,0,0
200,8.0,300,0,0,1,0,1,0,0,0,1,0,0
200,8.0,300,0,0,1,0,1,0,0,0,1,0,0
200,8.0,300,0,0,1,0,1,0,0,0,1,0,0
380,9.3,700,0,0,1,1,1,0,0,0,1,0,0
150,8.3,600,0,0,0,0,1,0,1,0,0,0,0
900,10.0,1500,0,1,0,0,1,0,0,0,0,1,0
400,9.4,700,0,1,1,0,0,0,0,0,1,0,0
330,9.0,1800,0,0,1,0,1,0,0,0,1,0,0
260,9.0,1600,0,0,1,0,1,0,0,0,1,0,0
10000,10.0,1500,0,0,1,1,0,0,0,1,0,0,0
20000,10.0,3000,0,0,0,1,0,0,0,1,0,0,0
750,10.0,5000,0,0,1,0,1,0,0,0,1,0,0
860,8.3,2500,1,0,1,0,1,0,0,0,1,0,0
500,9.3,500,1,0,0,0,1,0,0,0,1,0,0
500,9.3,500,1,0,1,0,1,0,1,0,0,0,0
600,10.0,2000,0,1,1,0,1,0,0,0,1,0,0
600,10.0,2000,1,0,0,0,1,0,0,0,1,0,0
600,10.0,2000,1,0,1,0,1,0,0,0,1,0,0
570,10.0,2000,1,0,0,0,1,0,0,0,1,0,0
570,10.0,2000,0,1,1,0,1,0,0,0,1,0,0
500,8.3,300,0,0,0,0,0,0,0,0,1,0,0
450,10.0,2200,1,0,1,0,0,0,0,0,1,0,0
400,10.0,550,1,0,1,0,0,0,0,0,1,0,0
400,10.0,550,1,0,1,0,0,0,0,0,1,0,0
450,10.0,2300,1,0,1,0,0,0,0,0,0,0,1
800,10.0,1000,0,1,1,0,0,0,0,0,1,0,0
3500,10.0,3500,0,1,0,0,0,0,0,0,0,1,0
700,10.0,800,1,0,1,0,0,0,0,0,0,1,0
450,10.0,700,1,1,0,1,1,0,0,0,1,0,0
450,10.0,700,1,0,1,0,1,0,0,0,1,0,0
2000,10.0,1000,1,1,0,0,0,0,0,0,0,1,0
1500,10.0,1100,1,1,0,0,0,0,0,0,1,0,0
1500,10.0,1100,1,0,1,0,0,0,0,0,1,0,0
1500,10.0,750,0,1,1,0,0,0,0,0,1,0,0
1700,10.0,750,1,1,0,0,0,0,0,0,1,0,0
20000,10.0,3000,1,0,0,0,0,0,0,0,0,0,1
375,10.0,1500,0,0,1,0,0,0,0,0,1,0,0
350,9.2,650,1,0,0,0,1,0,0,0,1,0,0
200,10.0,2000,0,0,0,0,0,0,0,0,1,0,0
400,10.0,1530,1,0,1,0,0,0,0,0,1,0,0
400,10.0,1445,0,0,1,0,0,0,0,0,1,0,0
450,10.0,2000,1,0,1,0,1,0,0,0,1,0,0
450,10.0,700,1,0,1,0,0,0,0,0,1,0,0
1500,10.0,1500,0,0,0,1,0,0,0,0,1,0,0
700,10.0,500,1,0,1,0,1,0,0,0,1,0,0
450,10.0,1000,0,0,1,1,0,0,0,0,1,0,0
300,10.0,750,1,1,0,0,1,0,0,0,1,0,0
300,10.0,750,1,0,1,0,1,0,0,0,1,0,0
300,10.0,750,1,1,0,0,0,0,0,0,1,0,0
240,10.0,800,1,0,1,0,0,0,0,0,1,0,0
1225,10.0,1000,0,1,0,0,0,0,0,0,0,1,0
320,10.0,660,0,1,1,0,0,0,0,0,1,0,0
390,10.0,700,0,1,1,0,0,0,0,0,0,1,0
350,0.0,600,0,1,1,0,0,0,0,0,1,0,0
350,0.0,500,0,1,1,0,0,0,0,0,1,0,0
800,0.0,1045,1,0,0,0,1,0,0,0,0,1,0
2000,0.0,1500,0,1,1,0,0,0,0,0,1,0,0
2000,0.0,850,0,0,1,0,0,0,0,1,0,0,0
480,7.7,490,0,0,1,0,0,0,0,0,1,0,0
1500,9.3,1590,0,1,0,0,0,0,0,0,1,0,0
450,8.7,700,1,1,0,0,0,0,0,0,1,0,0
1000,9.7,1600,0,1,1,0,0,0,0,0,1,0,0
1000,9.7,1600,0,0,1,1,0,0,0,0,1,0,0
1700,9.5,1600,0,1,1,0,1,0,0,0,0,1,0
500,8.6,550,0,0,1,0,0,0,0,0,1,0,0
700,7.9,1500,1,0,1,0,0,0,0,0,1,0,0
2500,8.8,1500,0,1,1,0,1,0,0,0,1,0,0
800,8.6,800,0,1,1,0,1,0,0,0,1,0,0
300,9.6,550,1,0,1,0,0,0,0,0,1,0,0
300,8.7,600,0,0,1,0,1,0,0,0,1,0,0
450,9.8,2600,0,0,0,0,1,0,0,0,1,0,0
450,9.8,2600,0,0,0,0,0,0,0,0,0,1,0
400,8.8,399,1,0,0,1,1,0,0,0,1,0,0
500,9.5,1250,1,0,0,1,0,0,0,0,1,0,0
500,9.5,1250,0,1,1,0,1,0,0,0,1,0,0
500,9.5,1250,0,0,1,1,1,0,0,0,1,0,0
500,9.5,1250,1,0,0,1,1,0,0,0,1,0,0
900,9.7,4700,1,0,0,0,0,0,0,0,1,0,0
600,8.7,650,1,0,0,1,0,0,0,0,1,0,0
250,8.8,600,0,1,0,0,1,0,0,0,1,0,0
300,8.9,300,0,1,0,0,0,0,0,0,1,0,0
300,8.9,300,1,0,1,0,0,0,0,0,1,0,0
300,8.9,300,1,0,1,0,0,0,0,0,1,0,0
300,8.9,300,1,1,0,0,0,0,0,0,1,0,0
200,7.9,550,0,0,0,0,1,0,0,0,1,0,0
3000,9.9,810,0,0,0,0,1,0,0,1,0,0,0
700,9.0,1000,1,0,0,0,0,0,0,0,1,0,0
350,9.8,1200,0,0,1,0,0,0,0,0,1,0,0
5000,9.5,2000,0,1,0,0,0,0,0,0,0,1,0
600,9.9,800,0,1,0,1,1,0,0,0,1,0,0
600,8.7,900,1,1,1,0,0,0,0,0,1,0,0
3600,9.8,15000,0,0,1,0,0,0,0,0,0,1,0
300,9.9,900,1,0,1,0,1,0,0,0,1,0,0
300,9.9,1200,1,0,1,0,1,0,0,0,1,0,0
450,9.8,950,1,0,1,0,0,0,0,0,1,0,0
750,9.9,1000,1,0,1,0,1,0,0,0,0,1,0
2000,9.8,1500,0,1,0,1,0,0,0,0,0,1,0
3300,9.5,1200,0,1,0,0,0,0,0,0,0,1,0
350,9.8,600,1,0,1,0,0,0,0,0,1,0,0
300,9.8,600,1,0,1,0,0,0,0,0,1,0,0
300,9.8,600,0,1,1,0,0,0,0,0,1,0,0
250,9.6,500,0,0,1,0,0,0,0,0,1,0,0
315,7.0,500,1,0,1,0,0,0,0,0,1,0,0
300,8.6,500,1,0,1,0,0,0,0,0,1,0,0
450,9.8,500,0,0,1,0,0,0,0,0,1,0,0
450,9.8,500,0,0,1,1,0,0,0,0,1,0,0
450,9.8,500,0,0,1,0,0,0,0,0,1,0,0
450,9.8,500,0,0,1,0,0,0,0,0,1,0,0
4500,0.0,650,0,0,1,0,0,0,0,1,0,0,0
600,0.0,800,0,0,1,0,0,0,0,1,0,0,0
5000,0.0,632,0,0,1,0,0,0,0,1,0,0,0
430,8.5,450,0,1,1,0,1,0,0,0,1,0,0
320,8.3,1000,0,1,0,0,1,0,0,0,1,0,0
300,8.0,400,0,1,1,0,1,0,0,0,1,0,0
300,8.0,400,0,0,1,1,1,0,0,0,1,0,0
200,8.0,300,0,0,1,0,1,0,0,0,1,0,0
300,9.1,790,0,0,0,0,0,0,1,0,0,0,0
320,8.0,1000,0,0,1,0,1,0,0,0,1,0,0
900,9.0,700,0,1,0,0,0,0,0,0,0,1,0
500,9.3,1085,0,0,0,0,1,0,0,0,1,0,0
200,7.9,550,0,0,0,0,1,0,0,1,0,0,0
600,7.2,499,1,1,0,0,0,0,0,0,1,0,0
300,8.0,550,1,0,0,1,0,0,0,0,1,0,0
450,9.1,750,1,0,1,0,0,0,0,0,1,0,0
600,8.1,800,0,0,1,0,1,0,0,0,1,0,0
300,8.2,300,0,0,1,1,1,0,0,0,1,0,0
350,8.2,450,0,1,0,1,1,0,0,0,1,0,0
400,8.0,700,1,0,1,0,0,0,0,0,1,0,0
300,8.2,900,0,0,1,0,1,0,0,0,1,0,0
300,8.2,990,0,0,0,1,1,0,0,0,1,0,0
500,9.3,950,0,1,1,0,1,0,1,0,0,0,0
300,9.0,600,0,0,1,1,0,0,0,1,0,0,0
500,9.3,950,0,0,1,1,1,0,0,0,1,0,0
450,8.2,2000,0,0,1,0,0,0,0,0,0,1,0
4000,9.2,988,0,0,0,0,1,0,0,1,0,0,0
450,9.3,950,0,1,0,0,1,0,0,0,1,0,0
350,9.0,2000,0,1,0,0,1,0,0,0,1,0,0
240,9.0,1400,0,0,0,1,1,0,0,0,1,0,0
700,7.2,550,1,0,1,0,0,0,0,0,1,0,0
500,9.3,700,1,1,0,0,1,0,0,0,1,0,0
500,9.3,600,0,1,0,0,1,0,0,0,1,0,0
450,9.3,1500,1,0,1,0,1,0,0,0,1,0,0
450,9.3,1500,1,0,0,0,1,0,0,0,1,0,0
450,9.3,1500,1,1,0,0,1,0,0,0,1,0,0
450,9.3,1500,1,0,0,0,1,0,0,0,1,0,0
450,9.3,1500,1,0,1,0,1,0,0,0,1,0,0
450,9.3,2500,0,1,0,0,1,0,0,0,1,0,0
420,9.0,500,0,1,1,0,1,0,0,0,1,0,0
350,7.4,550,1,0,0,0,1,0,0,0,1,0,0
250,8.2,450,1,0,1,0,1,0,0,0,1,0,0
6000,9.0,900,0,0,1,0,0,0,0,1,0,0,0
6000,9.0,900,0,0,1,1,0,0,0,1,0,0,0
750,9.0,600,0,1,0,0,0,0,0,0,0,1,0
270,8.0,880,0,1,0,0,0,0,0,0,1,0,0
450,9.1,350,0,1,0,0,0,0,0,0,0,1,0
600,8.0,400,1,0,0,1,0,0,0,0,1,0,0
200,8.1,600,1,1,0,0,1,0,0,0,1,0,0
350,9.2,800,1,0,0,0,0,0,0,0,1,0,0
350,9.2,800,1,0,0,0,1,0,0,0,1,0,0
350,9.2,800,1,0,0,0,1,0,1,0,0,0,0
350,9.2,650,1,0,0,0,1,0,1,0,0,0,0
350,9.2,650,1,0,0,0,1,0,0,0,1,0,0
350,9.2,650,1,0,0,0,1,0,0,0,1,0,0
350,9.2,650,1,0,0,0,1,0,1,0,0,0,0
500,9.3,2000,1,0,1,0,0,0,0,0,1,0,0
300,8.1,400,0,0,1,0,0,0,0,0,1,0,0
750,9.9,1000,0,1,0,0,1,0,0,0,0,1,0
2000,8.0,1300,0,1,1,0,0,0,0,0,0,1,0
750,9.0,600,0,1,0,0,0,0,0,0,0,1,0
2500,9.3,600,0,0,0,1,0,0,0,0,0,1,0
2500,9.3,600,0,0,1,1,0,0,0,0,0,1,0
300,9.3,800,0,1,0,1,1,0,0,0,1,0,0
320,8.0,500,1,0,1,0,0,0,0,0,1,0,0
400,9.0,440,1,0,0,1,0,0,0,0,1,0,0
350,9.8,750,1,0,1,0,0,0,0,0,1,0,0
450,9.8,500,0,0,1,1,0,0,0,0,1,0,0
7000,0.0,700,0,0,1,1,0,0,0,1,0,0,0
800,0.0,1500,1,0,1,0,0,0,0,0,1,0,0
400,0.0,700,0,1,0,1,1,0,0,0,1,0,0
400,0.0,700,1,0,1,1,1,0,0,0,1,0,0
400,0.0,700,0,1,1,0,1,0,0,0,1,0,0
480,7.7,490,0,1,1,0,0,0,0,0,1,0,0
400,8.6,1150,1,0,1,0,1,0,0,0,1,0,0
400,8.6,1150,0,0,0,0,1,0,0,0,0,0,1
400,8.6,1150,0,1,1,0,1,0,0,0,1,0,0
600,8.6,1400,0,0,1,0,1,0,0,0,1,0,0
500,7.9,632,1,0,1,0,0,0,0,0,1,0,0
